company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
ABB,Abbott India Ltd,Industrials,0,Cluster 0,0.3985
ADANIENSOL,Adani Energy Solutions Ltd,Energy,0,Cluster 0,1.3609
ADANIENT,Adani Enterprises Ltd,Industrials,0,Cluster 0,1.3325
ADANIPOWER,Adani Power Ltd,Energy,0,Cluster 0,1.0338
AMBUJACEM,Ambuja Cements Ltd,Materials,0,Cluster 0,1.0595
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,0,Cluster 0,0.6044
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,0,Cluster 0,0.3161
DMART,Avenue Supermarts Ltd,Consumer Discretionary,0,Cluster 0,1.3757
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,0,Cluster 0,0.4489
BHEL,"Bharat Heavy Electricals Limited
",Industrials,0,Cluster 0,2.2845
BPCL,Bharat Petroleum Corporation Ltd,Energy,0,Cluster 0,0.9869
BOSCHLTD,Bosch Ltd,Consumer Discretionary,0,Cluster 0,0.7199
BRITANNIA,Britannia Industries Ltd,Consumer Staples,0,Cluster 0,0.3682
DLF,DLF Ltd,Real Estate,0,Cluster 0,2.2886
DABUR,Dabur India Ltd,Consumer Staples,0,Cluster 0,0.5271
DIVISLAB,Divis Laboratories Ltd,Healthcare,0,Cluster 0,0.47
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,0,Cluster 0,0.4713
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,0,Cluster 0,0.3715
GAIL,GAIL (India) Ltd,Energy,0,Cluster 0,0.371
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,0,Cluster 0,0.7288
GRASIM,Grasim Industries Ltd,Industrials,0,Cluster 0,1.7565
HCLTECH,HCL Technologies Ltd,Information Technology,0,Cluster 0,0.5039
HAVELLS,Havells India Ltd,Industrials,0,Cluster 0,0.5376
ITC,"ITC Ltd
",Consumer Staples,0,Cluster 0,0.9637
IOC,"Indian Oil Corporation
",Energy,0,Cluster 0,1.5581
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,0,Cluster 0,1.107
NAUKRI,Info Edge (India) Ltd,Communication Services,0,Cluster 0,0.9235
INFY,Infosys Ltd,Information Technology,0,Cluster 0,0.6987
JSWENERGY,JSW Energy Ltd,Energy,0,Cluster 0,1.4178
JSWSTEEL,JSW Steel Ltd,Materials,0,Cluster 0,0.7472
JINDALSTEL,Jindal Steel & Power Ltd,Materials,0,Cluster 0,1.3804
LTIM,LTIMindtree Ltd,Information Technology,0,Cluster 0,2.6193
LT,Larsen & Toubro Ltd,Industrials,0,Cluster 0,0.6972
LICI,Life Insurance Corporation of India,Financials,0,Cluster 0,0.7817
LODHA,Macrotech Developers Ltd,Real Estate,0,Cluster 0,1.9397
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,0,Cluster 0,1.1121
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,0,Cluster 0,0.333
NHPC,"NHPC Ltd
",Energy,0,Cluster 0,1.7493
NTPC,NTPC Ltd,Energy,0,Cluster 0,0.4959
NESTLEIND,Nestle India Ltd,Consumer Staples,0,Cluster 0,0.545
ONGC,Oil & Natural Gas Corpn Ltd,Energy,0,Cluster 0,1.6562
PIDILITIND,Pidilite Industries Ltd,Materials,0,Cluster 0,0.3053
RELIANCE,"Reliance Industries Ltd
",Energy,0,Cluster 0,1.7032
SBILIFE,SBI Life Insurance Company Ltd,Financials,0,Cluster 0,1.963
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,0,Cluster 0,0.5261
SHREECEM,Shree Cement Ltd,Materials,0,Cluster 0,0.2809
SIEMENS,Siemens Ltd,Industrials,0,Cluster 0,0.3581
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,0,Cluster 0,0.3892
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,0,Cluster 0,1.2891
TCS,Tata Consultancy Services Ltd,Information Technology,0,Cluster 0,1.9395
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,0,Cluster 0,0.7344
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,0,Cluster 0,1.7827
TATAPOWER,"Tata Power Company Ltd
",Energy,0,Cluster 0,0.72
TATASTEEL,"Tata Steel Ltd
",Materials,0,Cluster 0,0.6159
TECHM,Tech Mahindra Ltd,Information Technology,0,Cluster 0,0.5868
TITAN,"Titan Company Ltd
",Consumer Discretionary,0,Cluster 0,1.4367
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,0,Cluster 0,0.7283
TRENT,Trent Ltd,Consumer Discretionary,0,Cluster 0,3.4318
BAJFINANCE,Bajaj Finance Ltd,Financials,1,Cluster 1,1.4394
BAJAJFINSV,Bajaj Finserv Ltd,Financials,1,Cluster 1,0.9933
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,1,Cluster 1,1.3031
PFC,Power Finance Corporation Ltd,Financials,1,Cluster 1,2.2976
PNB,Punjab National Bank,Financials,1,Cluster 1,1.4831
RECLTD,REC Ltd,Financials,1,Cluster 1,2.2499
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,1,Cluster 1,1.4368
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2,Cluster 2,1.1383
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,2,Cluster 2,2.4547
BHARTIARTL,Bharti Airtel Ltd,Communication Services,2,Cluster 2,1.545
CIPLA,"Cipla Ltd
",Healthcare,2,Cluster 2,0.743
COALINDIA,Coal India Ltd,Materials,2,Cluster 2,1.1039
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,2,Cluster 2,1.2929
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2,Cluster 2,1.6543
HINDALCO,Hindalco Industries Ltd,Materials,2,Cluster 2,0.5696
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,2,Cluster 2,0.6895
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,2,Cluster 2,0.4836
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,2,Cluster 2,0.9511
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,2,Cluster 2,1.5023
JIOFIN,Jio Financial Services Ltd,Financials,2,Cluster 2,0.6223
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,2,Cluster 2,1.1805
POWERGRID,Power Grid Corporation of India Ltd,Energy,2,Cluster 2,1.4061
ADANIGREEN,Adani Green Energy Ltd,Energy,3,Cluster 3,2.4376
AXISBANK,Axis Bank Ltd,Financials,3,Cluster 3,1.3105
BANKBARODA,Bank of Baroda,Financials,3,Cluster 3,1.4717
