ABB | ROE mismatch | source=34.90 | computed=25.08 | VERSION_DIFFERENCE
ADANIENT | ROE mismatch | source=13.64 | computed=6.57 | VERSION_DIFFERENCE
ADANIGREEN | ROE mismatch | source=14.70 | computed=1.43 | VERSION_DIFFERENCE
ADANIPOWER | ROE mismatch | source=57.10 | computed=-36.21 | VERSION_DIFFERENCE
AXISBANK | ROE mismatch | source=18.40 | computed=9.99 | SECTOR_EXCEPTION
BAJAJFINSV | ROE mismatch | source=11.72 | computed=22.58 | SECTOR_EXCEPTION
BANKBARODA | ROE mismatch | source=16.70 | computed=5.82 | SECTOR_EXCEPTION
BEL | ROE mismatch | source=26.30 | computed=7893.89 | FORMULA_DISCREPANCY
BHARTIARTL | ROE mismatch | source=14.90 | computed=1.86 | VERSION_DIFFERENCE
BPCL | ROE mismatch | source=41.90 | computed=22.33 | VERSION_DIFFERENCE
BRITANNIA | ROE mismatch | source=57.10 | computed=45.26 | VERSION_DIFFERENCE
CANBK | ROE mismatch | source=17.90 | computed=4.79 | SECTOR_EXCEPTION
COALINDIA | ROE mismatch | source=52.00 | computed=42.46 | VERSION_DIFFERENCE
DABUR | ROE mismatch | source=19.20 | computed=25.91 | VERSION_DIFFERENCE
DIVISLAB | ROE mismatch | source=12.20 | computed=20.52 | VERSION_DIFFERENCE
DRREDDY | ROE mismatch | source=21.40 | computed=16.34 | VERSION_DIFFERENCE
GODREJCP | ROE mismatch | source=6.77 | computed=19.40 | VERSION_DIFFERENCE
GRASIM | ROE mismatch | source=6.90 | computed=11.98 | VERSION_DIFFERENCE
HAL | ROE mismatch | source=28.90 | computed=2498.98 | FORMULA_DISCREPANCY
HDFCLIFE | ROE mismatch | source=11.40 | computed=21.85 | SECTOR_EXCEPTION
HEROMOTOCO | ROE mismatch | source=22.00 | computed=27.07 | VERSION_DIFFERENCE
HINDUNILVR | ROE mismatch | source=20.20 | computed=65.86 | VERSION_DIFFERENCE
ICICIBANK | ROE mismatch | source=18.80 | computed=12.67 | SECTOR_EXCEPTION
ICICIPRULI | ROE mismatch | source=8.07 | computed=21.07 | SECTOR_EXCEPTION
INFY | ROE mismatch | source=31.80 | computed=25.52 | VERSION_DIFFERENCE
IOC | ROE mismatch | source=25.44 | computed=13.40 | VERSION_DIFFERENCE
IRCTC | ROE mismatch | source=40.40 | computed=30.76 | VERSION_DIFFERENCE
JINDALSTEL | ROE mismatch | source=14.10 | computed=3.28 | VERSION_DIFFERENCE
LICI | ROE mismatch | source=63.61 | computed=133.61 | SECTOR_EXCEPTION
LT | ROE mismatch | source=10.49 | computed=198.90 | VERSION_DIFFERENCE
LTIM | ROE mismatch | source=26.04 | computed=33.63 | VERSION_DIFFERENCE
MOTHERSON | ROE mismatch | source=11.80 | computed=21.08 | VERSION_DIFFERENCE
NAUKRI | ROE mismatch | source=2.44 | computed=13.70 | VERSION_DIFFERENCE
NESTLEIND | ROE mismatch | source=135.61 | computed=72.54 | VERSION_DIFFERENCE
PNB | ROE mismatch | source=8.70 | computed=95.26 | SECTOR_EXCEPTION
SBILIFE | ROE mismatch | source=12.00 | computed=17.01 | SECTOR_EXCEPTION
TATAMOTORS | ROE mismatch | source=49.40 | computed=3.11 | VERSION_DIFFERENCE
TCS | ROE mismatch | source=0.52 | computed=38.59 | VERSION_DIFFERENCE
TECHM | ROE mismatch | source=8.63 | computed=20.10 | VERSION_DIFFERENCE
TITAN | ROE mismatch | source=32.90 | computed=24.71 | VERSION_DIFFERENCE
TRENT | ROE mismatch | source=27.20 | computed=6.25 | VERSION_DIFFERENCE
